vehicle id: twomedicine_ranger,,,,,
stop,arrival,departure,distance/km,,1039.7
twomedicine,-,0:00:00,0,,115.5222222
OLE LAKE,7:35:49,7:35:49,37.99,,
OLE CREEK,10:23:03,10:23:03,51.92,,
PARK CREEK,12:04:06,12:04:06,60.34,,
LAKE ISABEL,15:10:29,15:10:29,75.87,,
UPPER PARK CREEK,15:55:15,15:55:15,79.6,,
COBALT LAKE,17:54:08,17:54:08,89.51,,
twomedicine,19:46:33,-,98.88,,
,,,,,
vehicle id: twomedicine_ranger2,,,,,
stop,arrival,departure,distance/km,,
twomedicine,-,0:00:00,0,,
TWO MEDECINE,0:10:16,0:10:16,0.86,,
OLDMAN LAKE,2:14:43,2:14:43,11.23,,
UPPER NYACK CREEK,5:24:45,5:24:45,27.06,,
LOWER NYACK CREEK,7:57:01,7:57:01,39.75,,
COAL CREEK,13:17:53,13:17:53,66.49,,
BEAVER WOMAN LAKE,16:27:03,16:27:03,82.25,,
NO NAME LAKE,22:00:40,22:00:40,110.06,,
UPPER TWO MED LAKE,23:04:41,23:04:41,115.39,,
twomedicine,0:27:33,-,122.3,,
,,,,,
vehicle id: manyglacier_ranger,,,,,
stop,arrival,departure,distance/km,,
manyglacier,-,0:00:00,0,,
SLIDE LAKE,6:17:14,6:17:14,31.44,,
GABLE CREEK,8:15:08,8:15:08,41.26,,
HEAD ELIZABETH LAKE,9:53:16,9:53:16,49.44,,
HELEN LAKE,10:43:33,10:43:33,53.63,,
FOOT ELIZABETH LAKE,12:03:47,12:03:47,60.32,,
POIA LAKE,15:22:09,15:22:09,76.85,,
CREEKACKER LAKE,19:58:38,19:58:38,99.89,,
manyglacier,22:25:44,-,112.15,,
,,,,,
vehicle id: manyglacier_ranger2,,,,,
stop,arrival,departure,distance/km,,
manyglacier,-,0:00:00,0,,
COSLEY LAKE,4:37:50,4:37:50,23.15,,
FOOT GLENNS LAKE,5:08:52,5:08:52,25.74,,
HEAD GLENNS LAKE,5:55:52,5:55:52,29.66,,
MOKOWANIS LAKE,6:19:03,6:19:03,31.59,,
MOKOWANIS JCT,6:39:07,6:39:07,33.26,,
STONEY INDIAN LAKE,8:18:55,8:18:55,41.58,,
KOOTENAI LAKE,9:51:14,9:51:14,49.27,,
WATERTON RIVER,10:51:21,10:51:21,54.28,,
GOAT HAUNT SHELTERS,11:02:36,11:02:36,55.22,,
FIFTY MOUNTAIN,14:24:29,14:24:29,72.04,,
FLATTOP,16:26:07,16:26:07,82.18,,
GRANITE PARK,19:07:59,19:07:59,95.67,,
manyglacier,21:48:00,-,109,,
,,,,,
vehicle id: polebridge_ranger,,,,,
stop,arrival,departure,distance/km,,
polebridge,-,0:00:00,0,,
ROUND PRAIRIE,3:14:26,3:14:26,16.2,,
GRACE LAKE,12:53:59,12:53:59,64.5,,
ADAIR,13:47:03,13:47:03,68.92,,
FOOT LOGGING LAKE,15:13:36,15:13:36,76.13,,
LOWER QUARTZ LAKE,19:54:16,19:54:16,99.52,,
QUARTZ LAKE,20:53:50,20:53:50,104.49,,
polebridge,0:49:33,-,124.13,,
,,,,,
vehicle id: polebridge_ranger2,,,,,
stop,arrival,departure,distance/km,,
polebridge,-,0:00:00,0,,
AKOKALA LAKE,3:45:11,3:45:11,18.77,,
HEAD BOWMAN LAKE,7:43:35,7:43:35,38.63,,
BROWN PASS,9:49:43,9:49:43,49.14,,
LAKE JANET,11:23:36,11:23:36,56.97,,
LAKE FRANCES,12:09:42,12:09:42,60.81,,
HAWKSBILL,12:17:31,12:17:31,61.46,,
HOLE IN WALL,13:36:57,13:36:57,68.08,,
BOULDER PASS,14:51:05,14:51:05,74.26,,
UPPER KINTLA LAKE,16:24:39,16:24:39,82.05,,
HEAD KINTLA LAKE,18:03:40,18:03:40,90.31,,
polebridge,0:41:18,-,123.44,,
,,,,,
vehicle id: apgar_ranger,,,,,
stop,arrival,departure,distance/km,,
apgar,-,0:00:00,0,,
SNYDER LAKE,4:46:54,4:46:54,23.91,,
HARRISON LAKE,11:56:54,11:56:54,59.74,,
LINCOLN LAKE,17:29:09,17:29:09,87.43,,
apgar,22:33:07,-,112.76,,
,,,,,
vehicle id: apgar_ranger2,,,,,
stop,arrival,departure,distance/km,,
apgar,-,0:00:00,0,,
SPERRY,5:23:24,5:23:24,26.95,,
GUNSIGHT LAKE,7:36:40,7:36:40,38.06,,
LAKE ELLEN WILSON,9:10:51,9:10:51,45.91,,
CAMAS LAKE,16:29:16,16:29:16,82.44,,
ARROW LAKE,17:32:38,17:32:38,87.72,,
LAKE MCDONALD,21:05:48,21:05:48,105.49,,
apgar,23:29:18,-,117.44,,
,,,,,
vehicle id: stmary_ranger,,,,,
stop,arrival,departure,distance/km,,
stmary,-,0:00:00,0,,
OTOKOMI LAKE,3:36:37,3:36:37,18.05,,
REYNOLDS CREEKEEK,7:27:07,7:27:07,37.26,,
FOOT RED EAGLE LAKE,11:55:05,11:55:05,59.59,,
HEAD RED EAGLE LAKE,12:12:40,12:12:40,61.06,,
ATLANTIC CREEK,15:33:04,15:33:04,77.76,,
MORNING STAR LAKE,16:32:22,16:32:22,82.7,,
stmary,23:55:12,-,119.6,,
